"Cashbox","Barkasse"
"Cash Journal","Kassenbuch Journal
"Cashbook Cashbox","Kassenbuch Kasse"
"Page","Seite"
"of %s pages","von %s Seiten"
"Total %d records found","Insgesamt %d Datensätze gefunden"
"Export to:","Export nach:"
"Reset Filter","Filter zurücksetzen"
"Unselect All","Auswahl für alle aufheben"
"Select Visible","Sichtbar auswählen"
"Unselect Visible","Auswahl für Sichtbare aufheben"
"items selected","Einträge ausgewählt"
"open","offen"
"closed","geschlossen"
"Opening","Geöffnet"
"Closing","Geschlossen"
"Amount at cash point opening","Betrag bei Kasseneröffnung"
"Closing Balance","Endsaldo"
"Go to Previous page","zur vorherigen Seite"
"Go to Next page","zur nächsten Seite"
"No records found.","Keine Einträge gefunden."
"Cashbox closed!","Barkasse geschlossen!"
"Cashbox opened!","Barkasse eröffnet!"
"Open","Eröffnen"
"Withdrawal","Entnahme"
"Last Balance","Kassenbestand des Vortages"
"Sum of cash payments", "Summe der Barzahlungen"
"Closing balance of the cash desk","Endbestand der Barkasse"
"Opening Date","Eröffnungsdatum"
"Opening Balance","Neuer Kassenbestand"
"Editor","Bearbeiter"
"Close checkout","Kasse schließen"
"A cash book for the cashier '%s' is opened.","Ein Kassenbuch für die Kasse '%s' ist geöffnet."
"I confirm that after the withdrawal, <span id=""balance""></span> is in the cash desk.","Ich bestätige, dass sich nach der Entnahme <span id=""balance""></span> in der Kasse befinden."
"Deposits","Einzahlungen"
"New billing period for billing","Neuer Abrechnungszeitraum für Barkasse"
"The starting amount must not be less than the final amount of the previous day!","Der Startbetrag darf nicht kleiner als der Endbetrag des Vortages sein!"
"Total Taking","Gesamtentnahme"
"Closing balance must be greather than zero!","Der Endsaldo muss größer 0.00 sein!"
"Change Amount not plausible!","Der Einzahlbetrag reicht nicht aus!"

"TEXT_PROCESS_ERROR:-0609","Der Buchungstext einer Buchung der Buchungsliste ist zu lang oder zu kurz."