"Shipping to","Versand an"
"Other items in your order","Andere Artikel im Warenkorb"
"You are not authorized to put items into cart.","Sie sind nicht berechtigt Produkte in den Warenkorb zu legen."
"Please login first!","Bitte melden Sie sich zuerst an."
"Paymentmethod","Zahlmethode"
"Shippingmethod","Liefermethode"
"Please select shipping address and quantity for applicable items","Bitte wählen Sie die Versandadresse und die Anzahl der jeweiligen Artikel aus"
"Assigned Items","Zugewiesene Produkte"
"Total Qty","Gesamtmenge"
"Assign","Zuweisen"
"Unassign","Freigeben"
"Send to","Liefern an"
"Continue to Overview","zur Bestätigung"
"Please specify shipping methods for all addresses.","Bitte geben Sie die Versandmethode für alle Adressen an."
"Please specify payment method.","Bitte geben sie eine Bezahlmethode an."
"Please check billing address information.","Bitte prüfen Sie die Rechnungsadresse."
"Proceed to checkout","zur Kasse gehen"
"Order now","Jetzt bestellen"
"Back to Cart","Zurück zum Warenkorb"
"Invoices","Rechnungen"
"Unassign Address","Zuweisung aufheben"
"Assign Address","Adresse zuweisen"
"You are sure to cancel these order?","Wollen Sie diese Bestellung wirklich stornieren?"
"These order are submited","Diese Bestellung wurde bereits übertragen."
"Thank you for your purchase!","Vielen Dank für Ihren Einkauf!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","<a href=""%s""><strong>%s Artikel</strong></a> im Warenkorb."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","<a href=""%s""><strong>1 Artikel</strong></a> im Warenkorb."
"Please use Paymentmethods without user input only!","Bitte verwenden Sie nur Zahlungsmethoden ohne Benutzereingabe!"